
762;465;465;821;821;819;823;821;1270;1270;1270;418;418;418;824;824;824
575;438;438;533;533;573;557;533;1143;1143;1143;341;341;341;577;577;577
811;394;394;735;735;804;782;718;1292;1292;1292;355;355;355;918;918;918
1161;450;450;1243;1331;1243;1411;1331;1474;1474;1474;441;441;441;1457;1457;1464
1192;516;516;1087;1087;1218;1088;1087;1336;1336;1336;516;516;512;1228;1228;1228
1443;527;527;1701;1709;1696;1879;1801;1859;1859;1559;527;527;510;1711;1711;1724
1424;528;528;1585;1585;1672;1585;1585;1594;1594;1513;503;503;503;1672;1672;1672
1369;500;500;1462;1462;1604;1461;1462;1458;1458;1458;455;455;453;1604;1604;1604
1237;541;541;1317;1317;1460;1317;1317;1427;1427;1427;427;427;427;1460;1460;1460
1704;507;507;2471;2471;2491;2449;2471;1940;1940;1639;479;479;479;2491;2491;2491
1337;354;354;1629;2245;1629;1561;2245;1515;1515;1514;304;304;278;1948;2113;2450
967;215;215;864;1512;800;1296;1512;1386;1386;1386;202;202;202;1819;1921;2097
337;176;176;184;184;186;184;184;1264;1264;1264;176;176;176;1525;1525;1525
596;181;181;549;549;601;874;752;1289;1289;1289;181;181;181;991;991;991
1128;193;193;1246;1261;933;1694;1694;1551;1551;1467;193;193;193;1445;1445;1445
288;174;174;184;184;184;953;409;1277;1277;1277;174;174;174;1047;1047;1047
716;172;172;810;810;801;833;810;1323;1323;1323;172;172;172;1047;1047;1047
1170;178;178;1446;1481;1446;1619;1518;1609;1609;1490;178;178;178;1686;1740;1740
458;152;152;338;338;625;524;338;1353;1353;1353;152;152;152;1509;1509;1509
